i R \phi
1 0.008575709024901903 1.195821501611943
2 0.007496481334611548 1.29819294877365
3 0.009664993649621673 1.3176040281785686
4 0.009207263911021198 1.3264340503163699
5 0.009809272070408211 1.2109763632038548
6 0.010916272031085934 1.1939960559071716
7 0.01172167792621118 1.3132774314703357
8 0.01203736569966242 1.4501295914484424
9 0.012290707307552988 1.3987066240471793
10 0.012491848298827987 1.476314634845012
11 0.012914150130340231 1.1901026198461342
12 0.014730493280602136 1.0385744440907059
13 0.013901157139443565 1.0493258984667004
14 0.014259611447650837 1.0278293056310175
15 0.012119104219180502 1.0643917102634082
16 0.01168786032123315 1.083256517197276
17 0.011741415327065787 1.0906774745442918
18 0.010712381366044407 1.0486548018540167
19 0.011027104477547494 0.827984170785085
20 0.009658207850956961 0.5937618197291807
21 0.011563901695904358 0.5927420272348563
22 0.010679257254905934 0.6895278521771298
23 0.009806880010954531 0.8282577858083833
24 0.010825624385014275 0.794327909040305
25 0.010676798994255157 0.8660971818483126
26 0.01061626750456277 0.8185687970602527
27 0.011424233794737724 0.6751325122422706
28 0.010968287037252446 0.8014507789347524
29 0.011332935012680222 0.73463384372003
30 0.011520527251224924 0.808788490776156
31 0.00975297951886243 0.9649078613571896
32 0.009763696480841133 1.0831402080129264
33 0.010188054741976921 1.022591888864556
34 0.0094971352654078 1.0087241464945178
35 0.008144311327459434 1.0464605668019293
36 0.005850172591756866 1.2431333732089522
37 0.00569745542592746 1.523713440808479
38 0.006188552585166828 1.3983977615941134
39 0.007542081246763072 1.29913734305546
40 0.006528969340208366 1.2740362927692743
41 0.005723653803533761 1.3927959302235287
42 0.006093070799976136 1.2465145492318062
43 0.0063069916016724225 1.4365353877601035
44 0.005441960094099442 1.3932918995384758
45 0.005245530873874235 1.3345542959451568
46 0.0074838462264273636 1.2835897134521383
47 0.008607801799200203 0.8208158227636396
48 0.008303665814220712 1.0091772424537129
49 0.008725943518251999 0.9792827272463538
50 0.008883570822258926 1.0023177192833388
51 0.00858993658277488 1.1400454937591147
52 0.008208172264223306 1.237752580816216
53 0.007690496688409817 1.1453697369078601
54 0.00715649683122569 1.0785466133962938
55 0.009213859695358262 0.9238121770810732
56 0.009095818016989101 1.04887744820496
57 0.00972026757403406 1.023767731633148
58 0.011149977238537336 1.0182562723419344
59 0.011383073346700993 1.1181786696687095
60 0.009919901107840823 1.0957261972507815
61 0.00918481620621198 1.339210673267722
62 0.010436057966208787 1.1530744551553687
63 0.009449351888973886 1.1884227006787136
64 0.008469042081161367 1.3101773811501112
